sample_type,site,timing,plot,location,dryweight,year,treatment
Biomass,2,Before,d,Middle,96.27,2021,Control
Biomass,2,Before,d,Upper,82.41,2021,Control
Biomass,3,Before,a,Lower,150.98,2021,Regular Graze
Biomass,3,Before,a,Middle,43.07,2021,Regular Graze
Biomass,3,Before,a,Upper,94.15,2021,Regular Graze
Biomass,3,Before,b,Lower,117.47,2021,Control
Biomass,3,Before,b,Middle,66.68,2021,Control
Biomass,3,Before,b,Upper,55.34,2021,Control
Biomass,3,Before,c,Lower,89.96,2021,High Graze
Biomass,3,Before,c,Middle,108.91,2021,High Graze
Biomass,3,Before,c,Upper,66.13,2021,High Graze
Biomass,3,Before,d,Lower,78.62,2021,Mow
Biomass,3,Before,d,Middle,95.52,2021,Mow
Biomass,3,Before,d,Upper,61.22,2021,Mow
Biomass,4,Before,a,Lower,157.45,2021,Regular Graze
Biomass,4,Before,a,Middle,78.7,2021,Regular Graze
Biomass,4,Before,a,Upper,41.08,2021,Regular Graze
Biomass,4,Before,b,Lower,69.67,2021,High Graze
Biomass,4,Before,b,Middle,37.17,2021,High Graze
Biomass,4,Before,b,Upper,38.28,2021,High Graze
Biomass,4,Before,c,Lower,95.26,2021,Control
Biomass,4,Before,c,Middle,44.12,2021,Control
Biomass,4,Before,c,Upper,62.59,2021,Control
Biomass,4,Before,d,Lower,74.45,2021,Mow
Biomass,4,Before,d,Middle,113.88,2021,Mow
Biomass,4,Before,d,Upper,36.74,2021,Mow
Litter,1,Before,a,Lower,109.14,2021,High Graze
Litter,1,Before,a,Middle,26.14,2021,High Graze
Litter,1,Before,a,Upper,47.12,2021,High Graze
Litter,1,Before,b,Lower,106.85,2021,Control
Litter,1,Before,b,Middle,76.49,2021,Control
Litter,1,Before,b,Upper,46.45,2021,Control
Litter,1,Before,c,Lower,89.3,2021,Regular Graze
Litter,1,Before,c,Middle,35.68,2021,Regular Graze
Litter,1,Before,c,Upper,31.39,2021,Regular Graze
Litter,1,Before,d,Lower,110.38,2021,Mow
Litter,1,Before,d,Middle,70.62,2021,Mow
Litter,1,Before,d,Upper,55.34,2021,Mow
Litter,2,Before,a,Lower,144.49,2021,Regular Graze
Litter,2,Before,a,Middle,58.62,2021,Regular Graze
Litter,2,Before,a,Upper,33.86,2021,Regular Graze
Litter,2,Before,b,Lower,120.4,2021,High Graze
Litter,2,Before,b,Middle,77.41,2021,High Graze
Litter,2,Before,b,Upper,61.91,2021,High Graze
Litter,2,Before,c,Lower,111.1,2021,Mow
Litter,2,Before,c,Middle,34.66,2021,Mow
Litter,2,Before,c,Upper,48.2,2021,Mow
Litter,2,Before,d,Lower,179.05,2021,Control
Litter,2,Before,d,Middle,74.84,2021,Control
Litter,2,Before,d,Upper,77.92,2021,Control
Litter,3,Before,a,Lower,146.57,2021,Regular Graze
Litter,3,Before,a,Middle,47.04,2021,Regular Graze
Litter,3,Before,a,Upper,41.63,2021,Regular Graze
Litter,3,Before,b,Lower,95.81,2021,Control
Litter,3,Before,b,Middle,43.21,2021,Control
Litter,3,Before,b,Upper,104.92,2021,Control
Litter,3,Before,c,Lower,105.52,2021,High Graze
Litter,3,Before,c,Middle,64.9,2021,High Graze
Litter,3,Before,c,Upper,88.46,2021,High Graze
Litter,3,Before,d,Lower,42.07,2021,Mow
Litter,3,Before,d,Middle,62.08,2021,Mow
Litter,3,Before,d,Upper,65.1,2021,Mow
Litter,4,Before,a,Lower,107.15,2021,Regular Graze
Litter,4,Before,a,Middle,85.02,2021,Regular Graze
Litter,4,Before,a,Upper,65.93,2021,Regular Graze
Litter,4,Before,b,Lower,65.58,2021,High Graze
Litter,4,Before,b,Middle,40.98,2021,High Graze
Litter,4,Before,b,Upper,40.58,2021,High Graze
Litter,4,Before,c,Lower,50.82,2021,Control
Litter,4,Before,c,Middle,17.52,2021,Control
Litter,4,Before,c,Upper,30.66,2021,Control
Litter,4,Before,d,Lower,93.99,2021,Mow
Litter,4,Before,d,Middle,75.04,2021,Mow
Litter,4,Before,d,Upper,38.79,2021,Mow
